Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    1 │ 0.177123     0.0481561    0.0981383     0.0239097    0.153604      0.158419   0.0231934   0.0352486       0.935417     1.0                          2
    2 │ 0.16977      0.149686     0.1391        0.0677756    0.13286       0.16906    0.0943329   0.0816408       0.93125      1.0                          2
    3 │ 0.139762     0.00499548   0.117484      0.0629554    0.159991      0.164347   0.0864447   0.0704444       0.93125      1.0                          2
    4 │ 0.176184     0.0624596    0.0323733     0.0221955    0.126141      0.0813159  0.0680081   0.0509662       0.93125      1.0                          1
    5 │ 0.208634     0.0342501    0.15075       0.0116137    0.0715099     0.132172   0.109137    0.0863272       0.93125      1.0                          2
    6 │ 0.166778     0.0478988    0.052266      0.0426291    0.0285946     0.064597   0.17981     0.0336457       0.93125      1.0                          1
    7 │ 0.162904     0.0622637    0.080199      0.030872     0.133504      0.176442   0.0272964   0.0406813       0.93125      1.0                          2
    8 │ 0.175595     0.168721     0.134092      0.09475      0.108304      0.173258   0.0742552   0.083351        0.929167     1.0                          2
    9 │ 0.146691     0.00179583   0.107021      0.0406879    0.143097      0.155185   0.0875055   0.0690265       0.929167     1.0                          1
   10 │ 0.129459     0.0          0.126026      0.0618949    0.140179      0.167751   0.0667673   0.0466317       0.929167     1.0                          1
   11 │ 0.145763     0.19716      0.157562      0.108038     0.187355      0.153426   0.0711942   0.119776        0.929167     1.0                          1
   12 │ 0.136528     0.0440033    0.144199      0.0434347    0.0431005     0.173486   0.0744341   0.0781798       0.927083     1.0                          1
   13 │ 0.171734     0.141278     0.0590483     0.0889622    0.103192      0.169797   0.07226     0.0707838       0.927083     1.0                          2
   14 │ 0.0976184    0.0564902    0.162677      0.0          0.147489      0.0941375  0.0654492   0.0386534       0.927083     0.96875                      0
   15 │ 0.0306594    0.00548882   0.160618      0.0291833    0.120828      0.172263   0.0369912   0.0560885       0.927083     0.96875                      0
   16 │ 0.0295506    0.0198459    0.155925      0.00830116   0.109272      0.169269   0.0311973   0.0479846       0.927083     1.0                          1
   17 │ 0.158249     0.0943203    0.163155      0.00523111   0.197623      0.131072   0.0929546   0.0924491       0.927083     0.96875                      0
   18 │ 0.138608     0.084535     0.174467      6.58409e-6   0.187084      0.152879   0.0896128   0.102117        0.927083     1.0                          1
   19 │ 0.133884     0.00455321   0.11054       0.0553065    0.171052      0.142374   0.0662923   0.0648678       0.927083     1.0                          1
   20 │ 0.118099     0.0559605    0.208146      0.192845     0.157249      0.193059   0.142672    0.0622603       0.927083     1.0                          1
   21 │ 0.208873     0.0862475    0.196385      0.177409     0.161218      0.176091   0.0690505   0.064813        0.927083     1.0                          2
   22 │ 0.151        0.185381     0.176956      0.0930886    0.181154      0.138592   0.0489095   0.093186        0.927083     1.0                          1
   23 │ 0.111438     0.113684     0.0155788     0.0354835    0.127258      0.20242    0.151403    0.00118064      0.927083     1.0                          1
