Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 1500

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer    RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64     Float64      Float64      Float64       Float64     Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    1 │  1.02793    -0.982774     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.93125      0.96875                      0
    2 │  0.12769     0.0282001    0.147246      0.0526225    0.0596398    0.175279   0.0910361   0.0943802      0.929167     0.96875                      0
    3 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0960401      0.929167     1.0                          1
    4 │  0.148331    0.087875     0.168139      0.00944503   0.185335     0.137078   0.0770766   0.0910401      0.929167     1.0                          1
    5 │  0.161939    0.105187     0.15573       0.0175013    0.103173     0.135464   0.111401    0.0725203      0.929167     1.0                          2
    6 │  0.0644573   0.0668547    0.00795792    0.0502602    0.195434     0.150861   0.151906    0.10853        0.929167     1.0                          2
    7 │  0.183335    0.125354     0.0399128    -0.910259     0.121659     0.186293   0.0852727   0.0883816      0.927083     1.0                          2
    8 │  0.188335   -0.874646     0.0449128     0.0897412    0.121659     0.186293   0.0852727   0.0883816      0.927083     1.0                          1
    9 │  0.0814545   0.0745212    0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0374708      0.927083     1.0                          1
   10 │  0.0864545   0.0745212    0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0324708      0.927083     1.0                          2
   11 │  0.0547396   0.0227965    0.00739434    0.189724     0.155364     0.187053   0.144495    0.0779669      0.927083     0.96875                      0
   12 │  0.152156    0.106746     0.00321785    0.123535     0.121457     0.116945   0.0810814   0.0397341      0.925        1.0                          2
   13 │  0.161791    0.0343425   -0.903435      0.044201     0.1434       0.133013   0.133041    0.146628       0.925        1.0                          3
   14 │  0.135552    0.00752417   0.121423      0.0586438    0.159795     0.161512   0.0677093   0.0700219      0.925        1.0                          1
   15 │  0.12769     0.0282001    0.147246     -0.947377     0.0546398    0.180279   0.0910361   0.0943802      0.922917     1.0                          1
   16 │  0.183335    0.125354     0.0449128     0.0897412    0.126659     0.181293   0.0852727   0.0883816      0.922917     1.0                          1
   17 │  0.0814545   0.0745212   -0.841143     -0.994593     0.134643     0.103979   0.0715813   0.0324708      0.922917     1.0                          1
   18 │  0.0864545  -0.925479     0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0324708      0.922917     1.0                          1
   19 │ -0.972073    0.012226     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.922917     1.0                          1
   20 │  1.14833     0.082875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.922917     0.96875                      0
   21 │  0.161939    0.105187    -0.84427       0.0225013    0.103173     0.135464   0.116401    0.0775203      0.922917     1.0                          1
   22 │  0.156939   -0.894813     0.15573       0.0175013    0.103173     0.135464   0.116401    0.0775203      0.922917     1.0                          2
   23 │  0.152156    0.111746     0.00321785    0.123535     0.121457     0.116945   0.0860814   0.0447341      0.920833     1.0                          1
