Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    1 │ 0.193638   0.031221     0.139078      0.00377863   0.0812008     0.124834   0.10922      0.0766559      0.94375      1.0                          3
    2 │ 0.177123   0.0481561    0.0981383     0.0239097    0.153604      0.158419   0.0231934    0.0352486      0.935417     1.0                          2
    3 │ 0.171474   0.0487491    0.0911064     0.00515886   0.133547      0.155642   0.0241439    0.0481805      0.935417     1.0                          2
    4 │ 0.132898   0.00269723   0.121868      0.0507354    0.139251      0.156993   0.0582632    0.0398536      0.933333     1.0                          1
    5 │ 0.10276    0.0571847    0.154022      0.0          0.140445      0.102669   0.0719185    0.0479437      0.933333     1.0                          1
    6 │ 0.173797   0.050721     0.104776      0.0145598    0.154694      0.154278   0.0367736    0.0449459      0.93125      0.96875                      0
    7 │ 0.219879   0.0348634    0.147562      0.0237201    0.0815652     0.1408     0.123445     0.101313       0.93125      1.0                          1
    8 │ 0.16786    0.0337705    0.0569758     0.0492173    0.0374973     0.0793567  0.170753     0.0196884      0.93125      1.0                          3
    9 │ 0.17328    0.0602325    0.0731577     0.025282     0.128148      0.166854   0.0360278    0.0365109      0.93125      1.0                          2
   10 │ 0.141693   0.0124401    0.104494      0.0438011    0.157315      0.167032   0.0870646    0.0641413      0.93125      1.0                          2
   11 │ 0.138458   0.0          0.109342      0.0479307    0.148368      0.155987   0.0848484    0.0652365      0.93125      1.0                          3
   12 │ 0.0858617  0.0485615    0.16489       0.0          0.135381      0.0801508  0.0747836    0.023859       0.93125      1.0                          1
   13 │ 0.164121   0.055375     0.103374      0.0287468    0.155448      0.175437   0.0239356    0.0603456      0.93125      1.0                          1
   14 │ 0.132143   0.012695     0.129266      0.0375398    0.0819911     0.191596   0.0978997    0.114262       0.93125      1.0                          1
   15 │ 0.186844   0.179794     0.182845      0.0133585    0.106635      0.0745336  0.0360241    0.064258       0.93125      1.0                          3
   16 │ 0.16977    0.149686     0.1391        0.0677756    0.13286       0.16906    0.0943329    0.0816408      0.93125      1.0                          2
   17 │ 0.139762   0.00499548   0.117484      0.0629554    0.159991      0.164347   0.0864447    0.0704444      0.93125      1.0                          2
   18 │ 0.176184   0.0624596    0.0323733     0.0221955    0.126141      0.0813159  0.0680081    0.0509662      0.93125      1.0                          1
   19 │ 0.208634   0.0342501    0.15075       0.0116137    0.0715099     0.132172   0.109137     0.0863272      0.93125      1.0                          2
   20 │ 0.166778   0.0478988    0.052266      0.0426291    0.0285946     0.064597   0.17981      0.0336457      0.93125      1.0                          1
   21 │ 0.162904   0.0622637    0.080199      0.030872     0.133504      0.176442   0.0272964    0.0406813      0.93125      1.0                          2
   22 │ 0.175595   0.168721     0.134092      0.09475      0.108304      0.173258   0.0742552    0.083351       0.929167     1.0                          2
   23 │ 0.146691   0.00179583   0.107021      0.0406879    0.143097      0.155185   0.0875055    0.0690265      0.929167     1.0                          1
