Starting fitting with 32 workers on previous 1000 parameter combinations...

=== !200! Iterations Results ===
Total experiments: 1000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    1 │ 0.142886   0.117201     0.158542      0.013793     0.114713      0.154182   0.133901     0.0637556      0.904167     0.96875                      0
    2 │ 0.200904   0.0343632    0.143339      0.00602235   0.0821155     0.115202   0.118165     0.0807234      0.902083     0.96875                      0
    3 │ 0.143734   0.0167825    0.107291      0.0447884    0.159586      0.165627   0.0819896    0.0597138      0.902083     0.96875                      0
    4 │ 0.0378429  0.0          0.165434      0.0155745    0.115444      0.161292   0.0278815    0.0444365      0.9          1.0                          1
    5 │ 0.141966   0.0789096    0.163207      0.0          0.172331      0.144225   0.0878034    0.104279       0.9          0.9375                       0
    6 │ 0.173597   0.0546201    0.192399      0.0105578    0.0456314     0.12518    0.117104     0.100193       0.9          0.9375                       0
    7 │ 0.202332   0.0811255    0.152952      9.30539e-5   0.0519324     0.083315   0.0815694    0.0803803      0.897917     0.96875                      0
    8 │ 0.153252   0.0100963    0.126883      0.0585127    0.136989      0.175907   0.0787367    0.076598       0.897917     0.96875                      0
    9 │ 0.208976   0.0899327    0.187198      0.185416     0.14888       0.164311   0.0623097    0.0507353      0.897917     0.96875                      0
   10 │ 0.143129   0.00533464   0.119475      0.0534021    0.157314      0.154915   0.0791908    0.0781385      0.895833     0.96875                      0
   11 │ 0.134035   0.0108445    0.11478       0.0612168    0.149791      0.154684   0.0700003    0.0404259      0.895833     0.9375                       0
   12 │ 0.144165   0.00171544   0.110891      0.0416473    0.174008      0.130223   0.0726056    0.0693974      0.895833     0.96875                      0
   13 │ 0.164037   0.0406475    0.103545      0.0300178    0.143066      0.185175   0.0329711    0.0544605      0.895833     0.9375                       0
   14 │ 0.169973   0.0554363    0.0925784     0.0148609    0.148346      0.156733   0.0124884    0.0415933      0.89375      0.96875                      0
   15 │ 0.136551   0.00752934   0.0991293     0.0193993    0.130551      0.14268    0.0947756    0.0872389      0.89375      1.0                          1
   16 │ 0.138042   0.0199883    0.105174      0.066265     0.152034      0.170564   0.100882     0.0685499      0.89375      0.96875                      0
   17 │ 0.197132   0.027279     0.138531      0.00122679   0.0719461     0.130011   0.103408     0.097701       0.89375      0.96875                      0
   18 │ 0.211876   0.0302636    0.160675      0.0208978    0.0687131     0.129901   0.101136     0.0817301      0.89375      0.96875                      0
   19 │ 0.175631   0.0453654    0.0780346     0.0192449    0.143388      0.148092   0.0205255    0.0297728      0.89375      0.96875                      0
   20 │ 0.159317   0.112328     0.153016      0.0120726    0.0925828     0.148576   0.11471      0.0692932      0.89375      0.96875                      0
   21 │ 0.140388   0.198842     0.157659      0.109768     0.177563      0.157991   0.0675658    0.129536       0.89375      0.9375                       0
   22 │ 0.1612     0.00957787   0.111653      0.0317534    0.141879      0.151432   0.0780115    0.0614917      0.89375      0.96875                      0
