Starting random search with 32 workers on 50000 parameter combinations...

=== Random Search Results ===
Total experiments: 50000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule   NewInput     RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64     Float64      Float64      Float64      Float64      Float64     UInt16
──────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
    1 │ 0.152623     0.153528     0.0236453     0.0868414    0.192656    0.157472     0.101874     0.0930514       0.897917     1.0                          1
    2 │ 0.17293      0.190459     0.191473      0.0751707    0.17032     0.0819535    0.176217     0.153806        0.89375      0.9375                       0
    3 │ 0.144939     0.110498     0.0252971     0.0652895    0.102165    0.122681     0.100262     0.0587183       0.891667     0.96875                      0
    4 │ 0.0843841    0.0099379    0.133943      0.0654024    0.0734188   0.116103     0.0760684    0.00063892      0.891667     1.0                          1
    5 │ 0.0814545    0.0745212    0.158857      0.00540739   0.134643    0.103979     0.0715813    0.0324708       0.891667     0.96875                      0
    6 │ 0.172018     0.184884     0.0713306     0.181142     0.0529608   0.0711       0.0993572    0.0491329       0.891667     1.0                          1
    7 │ 0.0902279    0.189928     0.055281      0.0654619    0.161284    0.184276     0.194029     0.00231111      0.891667     0.96875                      0
    8 │ 0.0171189    0.0976653    0.126254      0.119451     0.0430472   0.151134     0.127198     0.025232        0.889583     0.96875                      0
    9 │ 0.0897073    0.11417      0.0777327     0.0298248    0.068818    0.159462     0.175194     0.148847        0.889583     0.9375                       0
   10 │ 0.137715     0.132683     0.0199434     0.0321117    0.0150247   0.0743936    0.161651     0.0719173       0.889583     0.9375                       0
   11 │ 0.0882563    0.0567086    0.188003      0.112505     0.179308    0.190183     0.087757     0.0277827       0.8875       1.0                          1
   12 │ 0.175246     0.130651     0.102358      0.00294312   0.0564294   0.0797699    0.03776      0.0919999       0.8875       0.96875                      0
   13 │ 0.0554697    0.192854     0.018279      0.164696     0.0724665   0.155995     0.0622204    0.0365555       0.8875       0.9375                       0
   14 │ 0.182744     0.0579462    0.188879      0.00834448   0.191051    0.146533     0.186267     0.0744286       0.8875       0.90625                      0
   15 │ 0.063951     0.0504101    0.0520268     0.150034     0.0561931   0.195118     0.0619371    0.0489847       0.8875       1.0                          1
   16 │ 0.103688     0.127085     0.134066      0.0145715    0.0819266   0.179034     0.116483     0.022326        0.8875       0.9375                       0
   17 │ 0.143032     0.0971847    0.175816      0.112745     0.136054    0.0741236    0.164277     0.0984774       0.8875       0.96875                      0
   18 │ 0.105266     0.0145059    0.0166156     0.0833572    0.117715    0.176932     0.186144     0.157833        0.8875       0.96875                      0
   19 │ 0.103115     0.190155     0.167358      0.0372509    0.13165     0.0964346    0.102184     0.137411        0.8875       0.9375                       0
   20 │ 0.0656864    0.174406     0.172999      0.0186447    0.126021    0.175623     0.148181     0.00644728      0.8875       1.0                          1
   21 │ 0.112644     0.127857     0.199549      0.0439269    0.0342315   0.0556591    0.0943925    0.0911954       0.8875       0.9375                       0
   22 │ 0.0448988    0.160165     0.10289       0.0181641    0.0748544   0.191476     0.180373     0.190899        0.8875       0.96875                      0
